Start Time, End Time, Duration (mins), Nap, Sleep Quality (%), Time Awake (mins), Time in REM Slep (mins),Time in Light Sleep (mins), Time In Deep Sleep (mins), SoundsRecorded, Wake-up mood, 
2018-08-13 18:34:50 +0000, 2018-08-14 00:35:39 +0000, 361, NO, 70, 21, 50, 150, 140, 0, N/A, 
2018-08-14 19:26:19 +0000, 2018-08-15 01:29:58 +0000, 364, NO, 64, 44, 40, 140, 140, 0, N/A, 
2018-08-15 17:59:10 +0000, 2018-08-16 01:00:28 +0000, 421, NO, 78, 41, 110, 170, 100, 0, N/A, 
2018-08-16 17:02:55 +0000, 2018-08-17 00:34:03 +0000, 451, NO, 74, 71, 110, 140, 130, 0, N/A, 
2018-08-17 17:29:55 +0000, 2018-08-17 23:30:00 +0000, 360, NO, 74, 40, 50, 140, 130, 0, N/A, 
2018-08-18 16:39:54 +0000, 2018-08-18 23:30:54 +0000, 411, NO, 72, 41, 70, 180, 120, 0, N/A, 
2018-08-19 11:54:57 +0000, 2018-08-19 13:11:52 +0000, 77, NO, 50, 27, 0, 30, 20, 0, N/A, 
2018-08-19 18:56:54 +0000, 2018-08-20 00:53:39 +0000, 357, NO, 56, 57, 40, 160, 100, 0, N/A, 
2018-08-20 17:03:21 +0000, 2018-08-21 00:25:32 +0000, 442, NO, 68, 22, 60, 180, 180, 0, N/A, 
2018-08-21 16:59:01 +0000, 2018-08-22 00:00:17 +0000, 421, NO, 82, 21, 90, 160, 150, 0, N/A, 
2018-08-22 16:37:41 +0000, 2018-08-23 00:47:55 +0000, 490, NO, 64, 80, 50, 200, 160, 0, N/A, 
2018-08-23 16:55:11 +0000, 2018-08-24 00:04:19 +0000, 429, NO, 72, 39, 60, 210, 120, 0, N/A, 
2018-08-24 17:27:16 +0000, 2018-08-25 01:46:20 +0000, 499, NO, 70, 79, 80, 230, 110, 0, N/A, 
2018-08-26 18:32:10 +0000, 2018-08-27 00:45:00 +0000, 373, NO, 80, 23, 60, 150, 140, 0, N/A, 
2018-08-27 18:13:34 +0000, 2018-08-28 00:45:57 +0000, 392, NO, 82, 22, 100, 160, 110, 0, N/A, 
2018-08-29 17:46:53 +0000, 2018-08-29 22:54:07 +0000, 307, NO, 60, 37, 30, 130, 110, 0, N/A, 
2018-08-29 23:03:00 +0000, 2018-08-30 01:32:36 +0000, 150, NO, 40, 60, 0, 50, 40, 0, N/A, 
2018-08-30 16:38:41 +0000, 2018-08-30 23:30:45 +0000, 412, NO, 58, 72, 30, 140, 170, 0, N/A, 
2018-09-03 19:34:18 +0000, 2018-09-04 00:58:17 +0000, 324, NO, 74, 24, 100, 90, 110, 0, N/A, 
2018-09-04 16:30:22 +0000, 2018-09-05 01:30:22 +0000, 540, NO, 52, 120, 30, 220, 170, 0, N/A, 
2018-09-06 16:24:49 +0000, 2018-09-07 00:30:17 +0000, 485, NO, 60, 35, 20, 220, 210, 0, N/A, 
2018-09-07 18:48:05 +0000, 2018-09-08 01:30:39 +0000, 403, NO, 58, 13, 60, 60, 270, 0, N/A, 
